location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,HEX,13,224100.0,9.0,31566.666666666668,0.0,0.0,,31566.666666666668,284100.0,,S1
AUS,HP,0,127036.730332,2.11,60206.98120000001,304517.63381,8.45,90050.74576598227,60063.48889782115,634270.4427609913,0.24970414201183433,S1
AUS,HP,1,126614.730332,2.11,60006.98120000001,319739.91174152005,8.8724,88081.91811335723,59702.63134446488,655678.1784774511,0.23781614895631392,S1
AUS,HP,2,126403.730332,2.11,59906.98120000001,335571.08079030085,9.311696,85861.45404156078,59112.73091053838,675167.6421899726,0.2265967445672625,S1
AUS,HP,3,143296.75488,2.4,73409.4812,341584.6013250472,9.478564,82885.98023999999,55772.94481891694,662502.4944999734,0.2532029113270744,S1
AUS,HP,4,148767.45299999998,2.5,64042.981199999995,378539.52382455417,9.853706000000003,86316.60376806113,57538.76668408145,710817.0072177373,0.2537116492008184,S1
AUS,HP,5,154198.15112,2.6,63668.519661538456,382892.78385248565,10.247855,84474.3830580975,56351.382137542634,723994.3867527378,0.25371163038509037,S1
AUS,HP,6,159588.84923999998,2.7,63306.98119999999,387592.053345264,10.661769,82631.87520680633,55196.1468401115,737518.1637676497,0.2532412773152373,S1
AUS,HP,7,165219.54736,2.8,63056.981199999995,399881.7476141911,11.096240000000002,81785.98043572747,54707.8796687564,760233.8257681596,0.2523377288162476,S1
AUS,HP,8,170540.24547999998,2.9,62717.326027586205,438879.3064583382,11.552089,84518.33495026012,56527.46417712193,816939.943232078,0.25103684710185314,S1
AUS,HP,9,175820.9436,3.0,62386.9812,527153.0815856339,12.030173,92965.36701726486,62043.040665579065,932517.6346496885,0.24937297244187595,S1
AUS,HP,10,181371.64172,3.1,62165.04571612903,584922.155910128,12.53138,97576.99723835645,65156.971819930266,1018493.3861666216,0.24737897980908727,S1
AUS,HP,11,408148.8684,7.0,121486.98120000001,386082.45564704743,9.256635,90004.33416276464,51706.537449022675,840574.3064225927,0.7562143262643499,S1
AUS,HP,12,464855.8496,8.0,72281.98120000001,337322.6964352445,8.9069,83934.84921550872,39479.11445259617,667469.4401385982,0.8981800626480594,S1
AUS,HP,13,522062.8308,9.0,70606.9812000182,322302.8525731858,8.583176000000002,83081.55384064677,38295.86560329462,673362.9449750755,1.048562909580323,S1
AUS,Iron,0,1889.5463205522624,53.724720000000005,35.170891919999995,0.0,0.0,,35.170891919999995,1889.5463205522624,,S1
AUS,Iron,1,1889.5463205522624,53.724720000000005,35.170891919999995,0.0,0.0,,35.170891919999995,1889.5463205522624,,S1
AUS,Iron,2,1889.5463205522624,53.724720000000005,35.170891919999995,0.0,0.0,,35.170891919999995,1889.5463205522624,,S1
