tech_location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
ROW-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA-Aluminium_production,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.864,1632.8640000000003
USA-Bauxite_mining,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000007
USA-Compressor_manufacturing,97000.0,96100.0,95300.0,94500.0,93700.0,93000.0,92200.0,91400.0,90600.0,89900.0,89100.0,88400.0,87600.0,86900.0,91835.71428571429
USA-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA-Copper_refinement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA-HEX_manufacturing,52129.9999997952,51800.0,51200.0,50900.0,50600.0,50300.0,50000.0,49700.0,49400.0,49100.0,48800.0,48500.0,48200.0,48000.0,49902.14285712823
USA-HP_assembly,65057.16301021196,61271.78884234873,57365.94766696107,55859.26024,55559.26024,55259.26024,54859.26024,71331.87353002832,81305.91707847646,76117.41183861847,83733.14887854742,76899.71256813243,64505.311407977155,64078.56208806189,65943.134133526
USA-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
