location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
ITA,2,497701.8079742464,64.35475000000001,92466.00493677791,128.62154900000002,590167.8129110243,192.97629900000004,3058.2398769655347,0.18578595346706592,1.998633340973277
ITA,3,491541.8079742464,64.35475000000001,103123.51034756591,129.55677500000002,594665.3183218123,193.91152500000004,3066.683727652661,0.2097960105826215,2.0131656948399304
ITA,4,485639.8079742464,64.35475000000001,115596.8220568935,130.650988,601236.6300311399,195.005738,3083.1740450177927,0.2380299558619042,2.030168526798721
ITA,5,479715.8079742464,64.35475000000001,130190.6057622895,131.931218,609906.4137365359,196.28596800000003,3107.233899351052,0.2713911103160453,2.050061852466212
ITA,6,473791.8079742464,64.35475000000001,147265.3201583231,133.429086,621057.1281325695,197.783836,3140.0803053115496,0.31082285020497424,2.073337026404422
ITA,7,519247.8079742464,65.75475,137945.9539077251,142.79759299999998,657193.7618819715,208.55234299999998,3151.2173511374626,0.2656649711163864,2.1716696208258717
ITA,8,647513.7535165269,82.98861822000008,165039.30267554705,182.52808026950018,812553.056192074,265.51669848950024,3060.27101426996,0.25488154001246965,2.199435105493916
ITA,9,787441.0180638928,102.12374999999999,196516.53645877723,226.76405599999998,983957.5545226701,328.88780599999996,2991.772685311021,0.24956349993293328,2.2204830512001372
ITA,10,809046.7080738535,106.16475,310219.48624891567,238.406118,1119266.194322769,344.570868,3248.2902597638317,0.3834382899690353,2.245624070136274
ITA,11,1246954.7422180125,161.06500000000003,622127.2361390565,326.5230680000001,1869081.978357069,487.58806800000013,3833.321816146388,0.4989172542320596,2.0272751249495546
ITA,12,1325529.7451059863,173.51575000000003,603703.8767417272,347.32337100000007,1929233.6218477134,520.8391210000001,3704.0873929431905,0.455443477576172,2.001682100904385
ITA,13,1386473.152607874,184.35700000000003,570956.9823191961,365.49780000000004,1957430.1349270702,549.8548000000001,3559.903696261395,0.41180529261981,1.9825545002359553
JPN,0,3555635.4770143004,179.83525000000003,36939.296650570584,307.052275,3592574.773664871,486.88752500000004,7378.654389768707,0.01038894366122954,1.7074087254862433
JPN,1,3532422.477012723,179.83525000000003,36939.296650570584,307.052275,3569361.7736632936,486.88752500000004,7330.978080950612,0.010457213680117101,1.7074087254862433
JPN,2,3497280.477012723,179.83525000000003,36939.296650570584,307.052275,3534219.7736632936,486.88752500000004,7258.801247091499,0.010562291727348981,1.7074087254862433
JPN,3,3516056.5490547484,209.61805000000004,76043.32751024651,359.4765550000001,3592099.876564995,569.0946050000001,6311.955595792362,0.021627447240770314,1.7149122177217087
JPN,4,3480714.5490547484,209.61805000000004,76041.73667943352,359.4765550000001,3556756.2857341818,569.0946050000001,6249.850647827141,0.021846587994434664,1.7149122177217087
JPN,5,3445372.5490547484,209.61805000000004,76031.5879030382,359.4765550000001,3521404.1369577865,569.0946050000001,6187.730662036035,0.022067740663893595,1.7149122177217087
JPN,6,3413310.5490547484,209.61805000000004,74829.8037393822,359.4765550000001,3488140.352794131,569.0946050000001,6129.2803026908505,0.021922940401688587,1.7149122177217087
JPN,7,3495408.7968788124,223.628566105,46533.93115712485,386.7229863455,3541942.728035937,610.3515524505,5803.11906116302,0.013312872359501075,1.729309421784346
