location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
BRA,8,Copper_ore,2857.3287091544225,5.51666667,15.762930055026327,
BRA,9,Copper_ore,2857.328709154422,5.51666667,15.762930055026326,
BRA,10,Copper_ore,2857.328709154422,5.51666667,15.762930055026326,
BRA,11,Copper_ore,2961.9270891069314,5.51666667,16.339964451446328,
BRA,12,Copper_ore,2962.521922033883,5.51666667,16.343245946428663,
BRA,13,Copper_ore,2962.5219220338836,5.51666667,16.343245946428667,
BRA,0,HEX,26970.0,1.0,26.97,
BRA,1,HEX,26800.0,1.0,26.8,
BRA,2,HEX,26400.0,1.0,26.4,
BRA,3,HEX,26200.0,1.0,26.2,
BRA,4,HEX,26100.0,1.0,26.1,
BRA,5,HEX,25900.0,1.0,25.9,
BRA,6,HEX,40450.0,1.0,40.45,
BRA,7,HEX,25500.0,1.0,25.5,
BRA,8,HEX,25400.0,1.0,25.4,
BRA,9,HEX,25200.0,1.0,25.2,
BRA,10,HEX,25000.0,1.0,25.0,
BRA,11,HEX,39646.22633431238,1.0,39.64622633431238,
BRA,12,HEX,33783.673155,1.0,33.783673154999995,
BRA,13,HEX,31978.680551449703,1.0,31.978680551449703,
BRA,3,HP,162849.1987600001,1.0,162.8491987600001,
BRA,4,HP,150878.8459600002,1.0,150.8788459600002,
BRA,5,HP,49449.19876,1.0,49.44919876,
BRA,6,HP,77799.19876,1.0,77.79919876,
BRA,7,HP,49449.19876,1.0,49.44919876,
BRA,8,HP,49449.19876,1.0,49.44919876,
BRA,9,HP,49449.19876,1.0,49.44919876,
BRA,10,HP,49449.19876,1.0,49.44919876,
BRA,11,HP,140829.78128427186,1.0,140.82978128427186,
BRA,12,HP,50439.58337538462,1.0,50.439583375384615,
BRA,13,HP,49349.19876000001,1.0,49.34919876000001,
BRA,3,Iron,22.926233999999997,29.89,0.6852651342599999,
BRA,4,Iron,22.926234,29.89,0.68526513426,
BRA,5,Iron,22.926234,29.89,0.68526513426,
BRA,6,Iron,22.926233999999997,29.89,0.6852651342599999,
BRA,7,Iron,22.926234,29.89,0.68526513426,
BRA,8,Iron,22.926233999999997,29.89,0.6852651342599999,
BRA,9,Iron,22.926233999999997,29.89,0.6852651342599999,
BRA,10,Iron,22.926233999999997,29.89,0.6852651342599999,
BRA,11,Iron,22.926233999999997,29.89,0.6852651342599999,
