location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
CHN,12,14025174.07707875,13687.317205218,886142.7440406703,1627.5887088300003,14911316.82111942,15314.905914048,973.6473018382452,0.06318229914086326,0.11891217865612967
CHN,13,15115929.594038464,14405.924449888002,1013120.5794271268,2332.6143765599995,16129050.17346559,16738.538826448003,963.5877026482515,0.06702337247103142,0.16192049213323026
CZE,0,253934.54081295038,34.3355,240702.30779319172,933.7350307,494636.8486061421,968.0705307000001,510.95125088507365,0.9478911652688258,27.194449788120167
CZE,1,249017.54081295038,34.3355,365615.3354632325,957.6451036744,614632.8762761828,991.9806036744001,619.6017079361413,1.468231250977876,27.890815735154575
CZE,2,244489.54081295038,34.3355,480776.7442130856,998.2673451000001,725266.285026036,1032.6028451,702.3671186532507,1.9664511725714662,29.07391315402426
CZE,3,243321.7692929504,34.4109848,573899.6072310786,1003.6505958120002,817221.376524029,1038.0615806120002,787.2571259618601,2.3586036255561034,29.16657577937148
CZE,4,262164.54081295035,35.0355,734913.986951653,1011.1548859800002,997078.5277646034,1046.1903859800002,953.0564810444208,2.803254721911461,28.86086643490175
CZE,5,709694.791683898,125.81592033800005,1151732.753265769,1176.8643260370502,1861427.544949667,1302.6802463750503,1428.921295252181,1.6228564261167036,9.353858580658517
CZE,6,874780.4888074119,160.5142739460001,1437740.7899784532,1265.8849715708504,2312521.278785865,1426.3992455168504,1621.2300210155618,1.6435446473417863,7.886432405361763
CZE,7,1051290.7650331776,197.5196,1726386.7970887057,1384.244793002,2777677.562121883,1581.7643930020001,1756.06277041689,1.6421591956381572,7.008138903693609
CZE,8,1044562.7650331777,197.5196,1884731.8982432634,1418.6447434880001,2929294.663276441,1616.1643434880002,1812.4980142517236,1.804326136575814,7.182298584484781
