on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,power,ROW,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,USA,13,1.0,1.0,1.0,1.0,1.0,1.0
