technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Bauxite_transport,DEU-CZE,3,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,4,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,5,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,6,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,7,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,8,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,9,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,10,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,11,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,12,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,13,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
