technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Nickel_transport,ITA-BRA,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CHN,12,0.0,0.0,0.0,0.0,0.0
