technology,location,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,USA,0,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,1,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,2,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,3,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,4,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,5,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,6,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,7,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,8,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,9,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,10,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,11,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,12,326.8,326.8,326.8,326.8,326.8,326.8
Aluminium_production,USA,13,326.8,326.8,326.8,326.8,326.8,326.8
Bauxite_mining,AUS,0,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,1,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,2,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,3,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,4,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,5,24.0,24.0,24.0,24.0,24.0,24.0
