technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Copper_ore_transport,ROW-AUT,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-BRA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,6,0.0,0.0,0.0,0.0,0.0
