technology,node,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
HEX_manufacturing,ROE,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,13,0.0,13.54051999999999,11.742958999039988,14.442958999999991,0.0
HEX_manufacturing,ROW,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROW,6,1.6306980000000095,1.6306979999999953,1.6306980000000095,1.5167840000000012,1.6306980000000237
HEX_manufacturing,ROW,7,14.217498000000006,14.217498000000006,14.217498000000006,12.031412000000003,14.217497999999992
HEX_manufacturing,ROW,8,16.560854000000006,16.560854000000035,16.560854000000006,15.560854000000006,16.560853999999992
HEX_manufacturing,ROW,9,19.251345,19.251344999999958,19.25134499968,19.251344999999972,19.251345000000015
HEX_manufacturing,ROW,10,22.344070999999985,22.344071000000014,22.344071000640014,21.74407100000002,22.344070999999985
HEX_manufacturing,ROW,11,23.90819700000003,24.903196999680006,24.903196999360006,24.503197,23.90819700000003
HEX_manufacturing,ROW,12,22.892336999999998,23.992337000319992,23.992337000319964,27.403438000000023,22.89233699999997
HEX_manufacturing,ROW,13,17.9,16.0,16.0,16.88889899999998,17.9
HEX_manufacturing,USA,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,USA,13,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUS,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUS,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUS,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUS,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUS,4,0.0,0.0,0.0,0.4751419999999995,0.0
HP_assembly,AUS,5,0.0,0.0,0.0,0.4941489999999984,0.0
HP_assembly,AUS,6,0.0,0.0,0.0,0.5139140000000002,0.0
HP_assembly,AUS,7,0.0,0.0,0.0,4.1149909999999945,0.0
HP_assembly,AUS,8,0.0,0.0,0.0,4.630993000000011,0.0
HP_assembly,AUS,9,0.0,0.0,0.0,2.660810999999997,0.0
HP_assembly,AUS,10,0.0,0.0,0.0,0.6,0.0
HP_assembly,AUS,11,1.19,0.0,0.0,0.7,1.19
HP_assembly,AUS,12,0.1,0.0,0.0,0.6,0.1
HP_assembly,AUS,13,0.1,0.0,0.0,0.7,0.1
HP_assembly,AUT,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,4,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,5,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,6,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,7,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,8,0.0,0.0,0.0,0.0,0.0
HP_assembly,AUT,9,0.0,0.0,0.0,0.1,0.0
HP_assembly,AUT,10,0.0,0.0,0.0,0.3,0.0
HP_assembly,AUT,11,0.5776630000000083,0.0,0.0,0.3,0.5148629999999952
HP_assembly,AUT,12,0.9223369999999917,0.0,0.0,0.4,0.9851370000000048
HP_assembly,AUT,13,0.1,0.0,0.0,0.4,0.1
HP_assembly,BRA,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,4,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,5,4.658794000000012,4.512413000000002,4.512413,0.0,4.934354000000015
HP_assembly,BRA,6,5.541205999999987,5.687586999999997,5.687587,0.0,5.265645999999984
HP_assembly,BRA,7,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,8,0.1,0.1,0.1,0.0,0.1
HP_assembly,BRA,9,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,10,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,11,0.0,0.0,0.0,0.0,0.0
HP_assembly,BRA,12,0.1,0.0,0.0,0.0,0.1
HP_assembly,BRA,13,0.0,0.0,0.0,0.0,0.0
HP_assembly,CHN,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,CHN,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,CHN,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,CHN,3,2.9283379999999966,2.9383380000000017,2.9383380000000017,0.0,2.9283379999999966
HP_assembly,CHN,4,12.829015000000012,12.829014999999998,12.829015000000012,0.0,12.829014999999998
HP_assembly,CHN,5,8.342646999999985,8.332646999999994,8.33264699999998,0.0,8.342647
HP_assembly,CHN,6,6.1,6.1,6.1,0.0,6.1
HP_assembly,CHN,7,6.6,6.6,6.6,0.0,6.6
HP_assembly,CHN,8,7.1,7.1,7.1,0.0,7.1
HP_assembly,CHN,9,7.7,7.7,7.7,0.0,7.7
HP_assembly,CHN,10,8.3,8.3,8.3,0.0,8.3
HP_assembly,CHN,11,9.0,29.903196999680006,29.903196999360006,0.0,9.0
HP_assembly,CHN,12,9.8,34.00343799999999,34.00343799999996,0.0,9.8
