technology,node,time_storage_level,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Bauxite_storage,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
